"","References","JLCPCB Part #","Manufacturer Part #","Value","Footprint"
1,"C3","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
2,"C4","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
3,"C5","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
4,"C6","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
5,"C7","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
6,"C8","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
7,"C9","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
8,"C10","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
9,"C11","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
10,"C12","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
11,"C13","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
12,"C14","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
13,"C15","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
14,"C16","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
15,"C17","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
16,"C18","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
17,"C19","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
18,"C20","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
19,"C21","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
20,"C22","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
21,"C23","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
22,"C24","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
23,"C25","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
24,"C26","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
25,"C27","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
26,"C28","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
27,"C29","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
28,"C255","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
29,"C256","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
30,"C257","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
31,"C258","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
32,"C259","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
33,"C260","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
34,"C261","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
35,"C262","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
36,"C263","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
37,"C264","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
38,"C265","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
39,"C266","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
40,"C268","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
41,"C269","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
42,"C270","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
43,"C272","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
44,"C273","C49062","CL03A104KP3NNNC","100nF","C_0201_0603Metric"
