Designator,Val,Package,MidX,MidY,Rotation,Layer
"C1","22pF","C_0201_0603Metric",63.321228,-63.901227,180.000000,top
"C2","22pF","C_0201_0603Metric",63.321228,-64.701227,180.000000,top
"C3","100nF","C_0201_0603Metric",54.064561,-35.350000,0.000000,top
"C4","100nF","C_0201_0603Metric",84.301228,-35.350000,0.000000,top
"C5","100nF","C_0201_0603Metric",84.297893,-54.550000,0.000000,top
"C6","100nF","C_0201_0603Metric",69.671228,-54.401227,0.000000,top
"C7","100nF","C_0201_0603Metric",69.671228,-35.350000,0.000000,top
"C8","100nF","C_0201_0603Metric",54.064561,-54.650000,0.000000,top
"C9","100nF","C_0201_0603Metric",84.300000,-89.650000,0.000000,top
"C10","100nF","C_0201_0603Metric",71.231228,-71.250000,180.000000,top
"C11","100nF","C_0201_0603Metric",54.064561,-89.650000,0.000000,top
"C12","100nF","C_0201_0603Metric",86.837895,-90.450000,180.000000,top
"C13","100nF","C_0201_0603Metric",71.201228,-90.401227,180.000000,top
"C14","100nF","C_0201_0603Metric",56.600000,-90.475000,180.000000,top
"C15","100nF","C_0201_0603Metric",49.050000,-63.697977,90.000000,top
"C16","100nF","C_0201_0603Metric",29.901228,-46.275360,90.000000,top
"C17","100nF","C_0201_0603Metric",29.901228,-82.100596,90.000000,top
"C18","100nF","C_0201_0603Metric",49.050000,-46.275360,90.000000,top
"C19","100nF","C_0201_0603Metric",49.050000,-82.100596,90.000000,top
"C20","100nF","C_0201_0603Metric",91.750000,-62.137977,-90.000000,top
"C21","100nF","C_0201_0603Metric",91.750000,-43.735358,-90.000000,top
"C22","100nF","C_0201_0603Metric",21.746229,-91.001227,180.000000,top
"C23","100nF","C_0201_0603Metric",91.750000,-79.560594,-90.000000,top
"C24","100nF","C_0201_0603Metric",111.001228,-43.735358,-90.000000,top
"C25","100nF","C_0201_0603Metric",111.001228,-79.560594,-90.000000,top
"C26","100nF","C_0201_0603Metric",19.706227,-34.950000,0.000000,top
"C27","100nF","C_0201_0603Metric",119.156227,-35.001227,0.000000,top
"C28","100nF","C_0201_0603Metric",121.196229,-90.950000,180.000000,top
"C29","100nF","C_0201_0603Metric",58.981228,-70.781227,-90.000000,top
"C255","100nF","C_0201_0603Metric",67.571505,-67.139322,180.000000,top
"C256","100nF","C_0201_0603Metric",69.571505,-62.739322,-90.000000,top
"C257","100nF","C_0201_0603Metric",71.171505,-62.739322,90.000000,top
"C258","100nF","C_0201_0603Metric",68.771505,-61.139322,-90.000000,top
"C259","100nF","C_0201_0603Metric",69.571505,-64.339322,-90.000000,top
"C260","100nF","C_0201_0603Metric",71.971505,-61.139322,-90.000000,top
"C261","100nF","C_0201_0603Metric",68.371505,-62.339322,180.000000,top
"C262","100nF","C_0201_0603Metric",70.371505,-62.739322,-90.000000,top
"C263","100nF","C_0201_0603Metric",71.971505,-62.739322,90.000000,top
"C264","100nF","C_0201_0603Metric",68.371505,-63.139322,180.000000,top
"C265","100nF","C_0201_0603Metric",70.371505,-64.339322,-90.000000,top
"C266","100nF","C_0201_0603Metric",73.171505,-61.539322,0.000000,top
"C267","10µF","C_0402_1005Metric",20.671228,-57.601227,180.000000,top
"C268","100nF","C_0201_0603Metric",69.571505,-61.139322,-90.000000,top
"C269","100nF","C_0201_0603Metric",71.171505,-61.139322,-90.000000,top
"C270","100nF","C_0201_0603Metric",72.771505,-62.739322,90.000000,top
"C271","1µF","C_0201_0603Metric",20.831228,-55.351227,180.000000,top
"C272","100nF","C_0201_0603Metric",20.831228,-56.351227,180.000000,top
"C273","100nF","C_0201_0603Metric",65.976505,-60.739322,180.000000,top
"C274","4.7µF","C_0402_1005Metric",65.421228,-67.101227,0.000000,top
"C275","100nF","C_0201_0603Metric",75.171505,-60.339322,90.000000,top
"C276","100nF","C_0201_0603Metric",65.976505,-65.539322,180.000000,top
"C277","100nF","C_0201_0603Metric",65.301228,-68.001227,0.000000,top
"C278","10nF","C_0201_0603Metric",74.371505,-60.339322,90.000000,top
"C279","100nF","C_0201_0603Metric",74.771505,-64.739322,180.000000,top
"C280","10µF","C_0402_1005Metric",81.013728,-64.251227,90.000000,top
"C281","1µF","C_0201_0603Metric",80.113728,-64.401227,90.000000,top
"C282","100nF","C_0201_0603Metric",79.313728,-64.401227,90.000000,top
"D1","H5VL10B","D_SOD-882D",9.201228,-59.651227,-90.000000,top
"D2","H5VL10B","D_SOD-882D",9.201228,-62.451227,-90.000000,top
"D3","H5VL10B","D_SOD-882D",9.201228,-64.251227,90.000000,top
"D4","RED_LED","D_0402_1005Metric",4.501228,-11.836227,-90.000000,top
"D5","YELLOW_LED","D_0402_1005Metric",136.351228,-11.836227,-90.000000,top
"D6","GREEN_LED","D_0402_1005Metric",4.501228,-113.901227,90.000000,top
"D7","BLUE_LED","D_0402_1005Metric",136.351228,-113.901227,90.000000,top
"D8","H5VL10B","D_SOD-882D",89.717894,-25.701227,-90.000000,top
"D9","H5VL10B","D_SOD-882D",88.467894,-25.701227,-90.000000,top
"D10","H5VL10B","D_SOD-882D",87.217894,-25.701227,-90.000000,top
"D11","H5VL10B","D_SOD-882D",85.967894,-25.701227,-90.000000,top
"D12","H5VL10B","D_SOD-882D",84.717894,-25.701227,-90.000000,top
"D13","H5VL10B","D_SOD-882D",83.467894,-25.701227,-90.000000,top
"D14","H5VL10B","D_SOD-882D",82.217894,-25.701227,-90.000000,top
"D15","H5VL10B","D_SOD-882D",80.967894,-25.701227,-90.000000,top
"D16","H5VL10B","D_SOD-882D",89.717894,-44.901227,-90.000000,top
"D17","H5VL10B","D_SOD-882D",88.467894,-44.901227,-90.000000,top
"D18","H5VL10B","D_SOD-882D",87.217894,-44.901227,-90.000000,top
"D19","H5VL10B","D_SOD-882D",85.967894,-44.901227,-90.000000,top
"D20","H5VL10B","D_SOD-882D",84.717894,-44.901227,-90.000000,top
"D21","H5VL10B","D_SOD-882D",83.467894,-44.901227,-90.000000,top
"D22","H5VL10B","D_SOD-882D",82.217894,-44.901227,-90.000000,top
"D23","H5VL10B","D_SOD-882D",80.967894,-44.901227,-90.000000,top
"D24","H5VL10B","D_SOD-882D",76.101228,-44.801227,-90.000000,top
"D25","H5VL10B","D_SOD-882D",74.851228,-44.801227,-90.000000,top
"D26","H5VL10B","D_SOD-882D",73.601228,-44.801227,-90.000000,top
"D27","H5VL10B","D_SOD-882D",72.351228,-44.801227,-90.000000,top
"D28","H5VL10B","D_SOD-882D",71.101228,-44.801227,-90.000000,top
"D29","H5VL10B","D_SOD-882D",69.851228,-44.801227,-90.000000,top
"D30","H5VL10B","D_SOD-882D",68.601228,-44.801227,-90.000000,top
"D31","H5VL10B","D_SOD-882D",67.351228,-44.801227,-90.000000,top
"D32","H5VL10B","D_SOD-882D",66.101228,-44.801227,-90.000000,top
"D33","H5VL10B","D_SOD-882D",64.851228,-44.801227,-90.000000,top
"D34","H5VL10B","D_SOD-882D",59.484562,-44.901227,-90.000000,top
"D35","H5VL10B","D_SOD-882D",58.234562,-44.901227,-90.000000,top
"D36","H5VL10B","D_SOD-882D",56.984562,-44.901227,-90.000000,top
"D37","H5VL10B","D_SOD-882D",55.734562,-44.901227,-90.000000,top
"D38","H5VL10B","D_SOD-882D",54.484562,-44.901227,-90.000000,top
"D39","H5VL10B","D_SOD-882D",53.234562,-44.901227,-90.000000,top
"D40","H5VL10B","D_SOD-882D",51.984562,-44.901227,-90.000000,top
"D41","H5VL10B","D_SOD-882D",50.734562,-44.901227,-90.000000,top
